Method,Optuna_AUC,Optuna_Acc,Optuna_Precision,Optuna_Recall,Optuna_F1,Optuna_k,Params_x,CV_metric,CV_best_k,CV_best_val,TEST_AUC,TEST_Acc,Params_y
SHAP,0.6296296296296298,0.6060606060606061,0.6470588235294118,0.6111111111111112,0.6285714285714286,5,"{'n_estimators': 11, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",f1,5,0.7828961587582277,0.6296296296296298,0.6060606060606061,"{'n_estimators': 11, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
MI,0.8277777777777778,0.8181818181818182,0.875,0.7777777777777778,0.8235294117647058,5,"{'n_estimators': 10, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",f1,5,0.7746871008939975,0.8277777777777778,0.8181818181818182,"{'n_estimators': 10, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
PI,0.6111111111111112,0.5151515151515151,0.5555555555555556,0.5555555555555556,0.5555555555555556,40,"{'n_estimators': 47, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",f1,40,0.7655452560458121,0.6111111111111112,0.5151515151515151,"{'n_estimators': 47, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}"
Lasso,0.6462962962962963,0.5454545454545454,0.5789473684210527,0.6111111111111112,0.5945945945945946,20,"{'n_estimators': 16, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5}",f1,10,0.8661152467604081,0.5444444444444444,0.5151515151515151,"{'n_estimators': 16, 'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5}"
